run_id,algorithm,graph,params,runtime_s,status,n_clusters,n_noise,noise_pct,max_cluster_pct,median_cluster_size
louvain__prox_5000m__resolution0p5,louvain,prox_5000m,"{""resolution"": 0.5}",3.35,cached,845,0,0.0,2.322,2.0
louvain__prox_5000m__resolution1p0,louvain,prox_5000m,"{""resolution"": 1.0}",4.55,cached,798,0,0.0,2.71,2.0
louvain__prox_5000m__resolution2p0,louvain,prox_5000m,"{""resolution"": 2.0}",4.99,cached,817,0,0.0,1.898,2.0
louvain__prox_5000m__resolution5p0,louvain,prox_5000m,"{""resolution"": 5.0}",2.82,cached,859,0,0.0,1.392,3.0
louvain__prox_10000m__resolution0p05,louvain,prox_10000m,"{""resolution"": 0.05}",4.53,cached,345,0,0.0,2.002,20.0
louvain__prox_10000m__resolution0p1,louvain,prox_10000m,"{""resolution"": 0.1}",6.65,cached,337,0,0.0,2.002,21.0
louvain__prox_10000m__resolution0p25,louvain,prox_10000m,"{""resolution"": 0.25}",8.47,cached,337,0,0.0,2.002,21.0
louvain__prox_10000m__resolution0p5,louvain,prox_10000m,"{""resolution"": 0.5}",7.2,cached,155,0,0.0,5.01,12.0
louvain__prox_10000m__resolution1p0,louvain,prox_10000m,"{""resolution"": 1.0}",7.5,cached,139,0,0.0,5.717,7.0
louvain__prox_10000m__resolution2p0,louvain,prox_10000m,"{""resolution"": 2.0}",6.92,cached,155,0,0.0,3.677,14.0
louvain__prox_10000m__resolution5p0,louvain,prox_10000m,"{""resolution"": 5.0}",7.93,cached,186,0,0.0,2.65,40.5
louvain__knn_10__resolution0p05,louvain,knn_10,"{""resolution"": 0.05}",3.0,cached,215,0,0.0,1.63,54.0
louvain__knn_10__resolution0p1,louvain,knn_10,"{""resolution"": 0.1}",2.82,cached,201,0,0.0,1.787,55.0
louvain__knn_10__resolution0p25,louvain,knn_10,"{""resolution"": 0.25}",2.84,cached,197,0,0.0,2.114,59.0
louvain__knn_10__resolution0p5,louvain,knn_10,"{""resolution"": 0.5}",3.66,cached,61,0,0.0,4.131,212.0
louvain__knn_10__resolution1p0,louvain,knn_10,"{""resolution"": 1.0}",2.69,cached,57,0,0.0,3.432,220.0
louvain__knn_10__resolution2p0,louvain,knn_10,"{""resolution"": 2.0}",2.66,cached,85,0,0.0,2.925,141.0
louvain__knn_10__resolution5p0,louvain,knn_10,"{""resolution"": 5.0}",2.54,cached,138,0,0.0,2.092,100.0
spectral__prox_10000m__n_clusters100,spectral,prox_10000m,"{""n_clusters"": 100}",16.91,ok,100,0,0.0,63.466,16.0
spectral__prox_10000m__n_clusters150,spectral,prox_10000m,"{""n_clusters"": 150}",14.43,ok,150,0,0.0,38.998,21.0
spectral__prox_10000m__n_clusters200,spectral,prox_10000m,"{""n_clusters"": 200}",20.59,ok,200,0,0.0,46.628,20.5
spectral__prox_10000m__n_clusters250,spectral,prox_10000m,"{""n_clusters"": 250}",21.02,ok,250,0,0.0,48.295,19.5
spectral__prox_10000m__n_clusters300,spectral,prox_10000m,"{""n_clusters"": 300}",36.88,ok,300,0,0.0,17.404,21.0
spectral__knn_10__n_clusters100,spectral,knn_10,"{""n_clusters"": 100}",7.72,ok,100,0,0.0,2.59,120.0
spectral__knn_10__n_clusters150,spectral,knn_10,"{""n_clusters"": 150}",10.48,ok,150,0,0.0,2.97,85.0
spectral__knn_10__n_clusters200,spectral,knn_10,"{""n_clusters"": 200}",14.7,ok,200,0,0.0,1.31,65.0
spectral__knn_10__n_clusters250,spectral,knn_10,"{""n_clusters"": 250}",18.54,ok,250,0,0.0,1.69,51.0
spectral__knn_10__n_clusters300,spectral,knn_10,"{""n_clusters"": 300}",24.81,ok,300,0,0.0,1.831,41.5
