run_id,algorithm,graph,status,n_clusters,noise_pct,max_cluster_pct,median_cluster_size,silhouette,silhouette_lo,silhouette_hi,davies_bouldin,calinski_harabasz,bb_join_ratio,bb_join_p,intra_inter_ratio,detection_rate,single_cluster_rate,tight_placement_rate,area_accuracy_rate,median_area_ratio,median_nearest_km,metrics_runtime_s
hdbscan__none__cluster_selection_methodeom_min_cluster_size15_min_samples5,hdbscan,none,cached,213,25.435,3.484,33.0,0.4408635441592871,0.435745329628386,0.4521929801500744,0.642843687742431,33821.85682685669,0.8706097168021195,0.0,0.048561024622833744,85.0,75.0,35.0,65.0,0.72,5.79,14.18
hdbscan__none__cluster_selection_methodeom_min_cluster_size20_min_samples1,hdbscan,none,cached,201,17.969,3.58,38.0,0.3788409261183014,0.3730721690332273,0.384211806600484,0.7217594525238317,31116.051157728434,0.9049085245784254,0.0,0.05509609165206633,95.0,75.0,45.0,65.0,0.84,5.1,16.34
hdbscan__none__cluster_selection_methodeom_min_cluster_size20_min_samples3,hdbscan,none,cached,185,22.272,3.566,41.0,0.41829490801897873,0.408740430058844,0.4257442207733588,0.6853928991986458,34989.97242014401,0.8821739286097884,0.0,0.04614282502664094,90.0,75.0,35.0,65.0,0.8,5.77,15.37
hdbscan__none__cluster_selection_methodeom_min_cluster_size20_min_samples5,hdbscan,none,cached,176,26.894,3.484,39.0,0.4589969764413486,0.4538820425720152,0.4642597797766281,0.6466551761787087,33472.27816074955,0.8544627832873868,0.0,0.05129628327050854,90.0,75.0,35.0,70.0,0.75,5.73,14.55
agglomerative__prox_2500m__n_clusters100,agglomerative,prox_2500m,cached,100,0.0,2.449,130.5,0.3776000639274904,0.3739032879225448,0.38125771798918734,0.8006891621562751,37352.42354454827,0.998030861766496,0.0,0.06020674776676963,100.0,90.0,15.0,65.0,1.31,12.08,22.52
agglomerative__prox_2500m__n_clusters150,agglomerative,prox_2500m,cached,150,0.0,1.749,82.5,0.3854413929503517,0.3798147388853894,0.3909923129605456,0.7781654901077462,40297.50665810792,0.9964913536930292,0.0,0.047016070523984196,100.0,90.0,40.0,75.0,1.0,7.19,20.66
agglomerative__prox_2500m__n_clusters200,agglomerative,prox_2500m,cached,200,0.0,1.414,60.5,0.3929678077861804,0.3869800259022702,0.3967921383184214,0.7563565680148929,41956.62373286437,0.9940209802728152,0.0,0.04012148984753988,100.0,85.0,50.0,80.0,0.83,5.5,19.74
louvain__prox_2500m__resolution0p05,louvain,prox_2500m,cached,2755,0.0,0.841,2.0,0.271201674156032,0.2608423996119018,0.286464585796648,0.4045648930839245,23137.65871357273,0.9915506068526011,0.0,0.018552203067637853,100.0,15.0,95.0,60.0,0.39,2.55,14.21
louvain__prox_2500m__resolution0p1,louvain,prox_2500m,cached,2746,0.0,0.841,2.0,0.2689688081012481,0.25815440953192753,0.2848851279119693,0.40330776353469644,22452.526211908422,0.992696287279367,0.0,0.01875933635739587,100.0,15.0,90.0,60.0,0.45,2.76,14.22
louvain__prox_2500m__resolution0p25,louvain,prox_2500m,cached,2746,0.0,0.841,2.0,0.2689688081012481,0.25815440953192753,0.2848851279119693,0.40330776353469644,22452.526211908422,0.992696287279367,0.0,0.01875933635739587,100.0,15.0,90.0,60.0,0.45,2.76,13.95
louvain__prox_2500m__resolution0p5,louvain,prox_2500m,cached,2672,0.0,1.69,2.0,0.1943310229523749,0.18542690350602803,0.20934635659448536,0.41108158042086773,11550.113894415239,0.9990333321399162,0.0,0.028950152131229676,100.0,25.0,90.0,65.0,0.48,2.97,15.06
louvain__prox_2500m__resolution1p0,louvain,prox_2500m,cached,2675,0.0,1.504,2.0,0.20515954231333788,0.19455498711346575,0.22106919470606315,0.4108957501609079,12884.76945997084,0.9987827145465612,0.0,0.02685277135234486,100.0,25.0,90.0,70.0,0.51,2.85,14.93
louvain__prox_2500m__resolution2p0,louvain,prox_2500m,cached,2684,0.0,1.057,2.0,0.2184984359058732,0.20703213804330897,0.23288789579026875,0.4084690257683922,14394.88951996896,0.998030861766496,0.0,0.024546976698233164,100.0,25.0,90.0,65.0,0.45,2.97,19.45
louvain__prox_2500m__resolution5p0,louvain,prox_2500m,cached,2717,0.0,0.67,2.0,0.2624900495526317,0.2519429862272993,0.27604098552696976,0.40083461426167033,20861.109786122273,0.994987648132899,0.0,0.019001040537262117,100.0,20.0,85.0,60.0,0.45,2.62,23.81
louvain__prox_5000m__resolution0p05,louvain,prox_5000m,cached,1289,0.0,1.072,5.0,0.3770348504302089,0.3661516710079973,0.3886409274448697,0.5471052029150733,37382.94897174605,0.9605814328165837,0.0,0.019496734176003602,100.0,40.0,65.0,65.0,0.42,2.81,24.9
louvain__prox_5000m__resolution0p1,louvain,prox_5000m,cached,851,0.0,2.471,3.0,0.24171552994520296,0.2326195475432359,0.25161724588339324,0.5122848097793176,11319.13257739298,0.9955246858329455,0.0,0.04520206916811089,100.0,80.0,60.0,85.0,0.81,4.51,33.29
louvain__prox_5000m__resolution0p25,louvain,prox_5000m,cached,841,0.0,2.486,2.0,0.23599011264496067,0.22361767979469577,0.24550933497862276,0.5136577259548641,10688.747576067075,0.9955604883462819,0.0,0.04683242031861537,100.0,75.0,55.0,90.0,0.73,4.53,33.14
louvain__prox_5000m__resolution0p5,louvain,prox_5000m,cached,845,0.0,2.322,2.0,0.24467052969775188,0.23262140588015667,0.25392416118129035,0.515095020868877,11269.075781247875,0.9956678958862912,0.0,0.045463888096270076,100.0,75.0,55.0,90.0,0.73,4.53,32.59
louvain__prox_5000m__resolution1p0,louvain,prox_5000m,cached,798,0.0,2.71,2.0,0.1833101153973005,0.16651067696750294,0.19397818188830598,0.5235900211397406,8036.960221179124,0.9978518491998138,0.0,0.054270939349311424,100.0,95.0,40.0,80.0,1.04,5.5,35.3
